store_alias,2024-03-31,2024-04-01,2024-04-04,2024-04-06,2024-04-12,2024-04-13,2024-04-14,2024-04-20,2024-04-21,2024-04-27,2024-04-30,2024-05-01,2024-05-05,2024-05-09,2024-05-12,2024-05-16,2024-05-18,2024-05-19,2024-05-25,2024-05-26,2024-06-06,2024-06-10,2024-06-15,2024-06-16,2024-06-19,2024-06-21,2024-06-22,2024-06-23
h018,.,.,.,.,.,.,.,.,.,.,.,.,L,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
h182,.,.,.,.,.,L,.,.,.,.,.,.,L,.,L,.,.,.,.,.,.,L,.,.,.,.,.,.
h235,.,.,.,.,.,.,.,.,L,.,.,.,L,.,L,.,.,.,L,.,.,.,.,.,.,.,.,.
h263,.,.,.,.,.,.,.,.,.,.,.,.,L,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
h555,.,.,.,.,.,.,.,.,.,.,.,.,L,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
l164,.,.,.,.,L,.,L,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,L,.,.,.
l165,L,.,.,.,.,.,.,.,L,.,.,.,L,.,L,D,L,.,.,L,D,.,.,.,.,.,.,.
l175,.,.,.,.,.,.,.,.,.,.,.,.,L,.,L,.,.,.,.,.,.,.,.,.,.,.,.,.
l185,L,.,.,.,.,L,.,L,L,.,.,L,L,.,L,.,L,L,.,L,.,.,L,L,.,L,.,.
l260,.,.,.,.,.,.,L,.,.,.,L,.,.,.,.,.,.,.,.,.,.,L,.,.,.,.,L,L
m041,L,D,L,L,.,L,L,L,L,L,.,.,L,D,L,.,L,.,L,L,D,L,L,L,.,.,.,L
m236,L,.,.,.,.,L,L,.,L,.,.,.,L,.,L,.,.,.,.,L,.,.,.,.,.,.,.,.
m386,.,.,.,.,.,.,.,.,.,.,.,.,L,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m648,.,.,.,.,.,.,L,L,.,.,.,.,L,.,L,.,.,L,.,.,.,.,.,.,.,.,.,.
m679,.,.,.,.,.,L,.,.,.,.,.,.,L,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
